 Elapsed time:	  Average time:	 
   0.0001340000,		 0.0001340000
 Elapsed time:	  Average time:	 
   0.0000950000,		 0.0000316667
Times Code is Run: 		 Elapsed time:	  Average time:	 
0.000000			   0.0008890000,		 0.0000001759
Times Code is Run: 		 Elapsed time:	  Average time:	 
5050505			   0.2278800000,		 0.0000000451
Times Code is Run: 	 Elapsed time:	  Average time:	 
5050		   0.0006630000,		 0.0000001313
Times Code is Run: 	 Elapsed time:	  Average time:	 
50			   0.0000790000,		 0.0000015800
Times Code is Run:	 Elapsed time:	  Average time:	 
505050					   0.0340580000,		 0.0000000674
Times Code is Run: 		 Elapsed time:	  Average time:	 
0.000000			   0.0000970000,		 0.0000970000
Times Code is Run: 	 Elapsed time:	  Average time:	 
1		   0.0000690000,		 0.0000690000
Times Code is Run: 	 Elapsed time:	  Average time:	 
1			   0.0000860000,		 0.0000860000
Times Code is Run:	 Elapsed time:	  Average time:	 
1					   0.0000880000,		 0.0000880000
 Elapsed time:	  Average time:	 
   0.0000820000,		 0.0000820000
Times Code is Run: 		 Elapsed time:	  Average time:	 
1			   0.0000800000,		 0.0000800000
